Dataset_name,Model_name,Calibration_metric,num_classes,num_instances,dataset_type,class_imbalance_ratio,actual_predictions_entropy,Confidence_Mean,Confidence_Median,Confidence_Std,Confidence_Var,Confidence_Entropy,Confidence_Skewness,Confidence_Kurtosis,Confidence_Min,Confidence_Max,Classification_Log_loss,Classification_Accuracy,Classification_Precision_Micro,Classification_Precision_Macro,Classification_Precision_Weighted,Classification_Recall_Micro,Classification_Recall_Macro,Classification_Recall_Weighted,Classification_F1_Micro,Classification_F1_Macro,Classification_F1_Weighted,ECE_before,MCE_before,ConfECE_before,brier_score_before,Wasserstein_Mean,Wasserstein_Median,Wasserstein_Std,Wasserstein_Var,Wasserstein_Entropy,Wasserstein_Skewness,Wasserstein_Kurtosis,Wasserstein_Min,Wasserstein_Max,KL_Divergence_Mean,KL_Divergence_Median,KL_Divergence_Std,KL_Divergence_Var,KL_Divergence_Entropy,KL_Divergence_Skewness,KL_Divergence_Kurtosis,KL_Divergence_Min,KL_Divergence_Max,Jensen_Shannon_Mean,Jensen_Shannon_Median,Jensen_Shannon_Std,Jensen_Shannon_Var,Jensen_Shannon_Entropy,Jensen_Shannon_Skewness,Jensen_Shannon_Kurtosis,Jensen_Shannon_Min,Jensen_Shannon_Max,Bhattacharyya_Mean,Bhattacharyya_Median,Bhattacharyya_Std,Bhattacharyya_Var,Bhattacharyya_Entropy,Bhattacharyya_Skewness,Bhattacharyya_Kurtosis,Bhattacharyya_Min,Bhattacharyya_Max,Best_Cal
phoneme,RANDOM_FOREST,log_loss,2,1081,0,2.41,0.8596,0.15048,0.04739,0.22541,0.05081,8.84532,1.9489,3.01883,1e-05,0.99313,0.24286,0.89547,0.89547,0.87667,0.89459,0.89547,0.86883,0.89547,0.89547,0.8726,0.89492,0.01957,0.14974,0.01957,0.14691,0.00056,0.00056,0.0,0.0,0.0,-999.0,-999.0,0.00056,0.00056,0.66859,0.66859,0.0,0.0,0.0,-999.0,-999.0,0.66859,0.66859,0.39089,0.39089,0.0,0.0,0.0,-999.0,-999.0,0.39089,0.39089,0.17386,0.17386,0.0,0.0,0.0,-999.0,-999.0,0.17386,0.17386,AdaptiveTemperatureScaling
phoneme,SVM,log_loss,2,1081,0,2.41,0.94256,0.22394,0.10769,0.24527,0.06016,9.21486,1.07217,0.17555,0.0,0.97778,0.34204,0.83534,0.83534,0.80104,0.85164,0.83534,0.8346,0.83534,0.83534,0.81281,0.83966,0.00607,0.05891,0.00607,0.22061,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,0.0,0.0,1.8902,1.8902,0.0,0.0,0.0,-999.0,-999.0,1.8902,1.8902,0.58041,0.58041,0.0,0.0,0.0,-999.0,-999.0,0.58041,0.58041,0.493,0.493,0.0,0.0,0.0,-999.0,-999.0,0.493,0.493,MIXANDMATCH
phoneme,XGBOOST,log_loss,2,1081,0,2.41,0.87052,0.16607,0.06488,0.22895,0.05242,8.97678,1.8382,2.58158,0.00461,0.99075,0.26103,0.89454,0.89454,0.87325,0.89435,0.89454,0.87187,0.89454,0.89454,0.87256,0.89444,0.01178,0.07292,0.01178,0.15999,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,0.0,0.0,0.75652,0.75652,0.0,0.0,0.0,-999.0,-999.0,0.75652,0.75652,0.41023,0.41023,0.0,0.0,0.0,-999.0,-999.0,0.41023,0.41023,0.19598,0.19598,0.0,0.0,0.0,-999.0,-999.0,0.19598,0.19598,AdaptiveTemperatureScaling
predict_students_dropout_and_academic_success,ADABOOST,ECE,3,885,1,2.78,0.0,0.61531,0.6791,0.12423,0.01543,9.76072,0.45757,-1.28138,0.50056,0.82034,1.01991,0.49944,0.49944,0.16648,0.24944,0.49944,0.33333,0.49944,0.49944,0.22205,0.33271,0.0,0.0,0.0,0.61531,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-0.0,-0.0,MIXANDMATCH
predict_students_dropout_and_academic_success,DECISION_TREE,ECE,3,885,1,2.78,0.0,0.61531,0.6791,0.12423,0.01543,9.76072,0.45757,-1.28138,0.50056,0.82034,1.01991,0.49944,0.49944,0.16648,0.24944,0.49944,0.33333,0.49944,0.49944,0.22205,0.33271,0.0,0.0,0.0,0.61531,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-0.0,-0.0,MIXANDMATCH
predict_students_dropout_and_academic_success,GRADIENT_BOOSTING,ECE,3,885,1,2.78,1.37623,0.32097,0.21379,0.2973,0.08839,9.17453,0.75967,-0.8484,0.01533,0.99112,0.57989,0.76723,0.76723,0.71133,0.75413,0.76723,0.68625,0.76723,0.76723,0.69418,0.7572,0.01052,0.0509,0.01052,0.32112,0.03819,0.03548,0.0087,8e-05,1.54831,0.43697,-1.5,0.02915,0.04994,0.4118,0.53383,0.18939,0.03587,1.40302,-0.69899,-1.5,0.14431,0.55727,0.2851,0.26673,0.08485,0.0072,1.52172,0.31467,-1.5,0.1916,0.39698,0.10772,0.08527,0.06815,0.00464,1.29736,0.45841,-1.5,0.03778,0.20011,AdaptiveTemperatureScaling
predict_students_dropout_and_academic_success,NAIVE_BAYES,ECE,3,885,1,2.78,1.38584,0.43427,0.2442,0.26308,0.06921,9.54024,0.68023,-1.24754,0.22106,0.92384,0.75608,0.69605,0.69605,0.62225,0.6803,0.69605,0.60971,0.69605,0.69605,0.6131,0.68577,0.02417,0.05945,0.02417,0.42397,0.03759,0.04475,0.01798,0.00032,1.39136,-0.53418,-1.5,0.01288,0.05514,2.00588,1.46512,1.72854,2.98784,1.00604,0.43865,-1.5,0.21169,4.34083,0.39684,0.44241,0.12795,0.01637,1.50359,-0.48906,-1.5,0.2224,0.52571,0.24368,0.27809,0.14439,0.02085,1.27759,-0.34393,-1.5,0.05216,0.40079,MIXANDMATCH
predict_students_dropout_and_academic_success,RANDOM_FOREST,ECE,3,885,1,2.78,1.33026,0.31935,0.2334,0.29184,0.08517,9.18676,0.80105,-0.67256,0.0,1.0,0.58786,0.77966,0.77966,0.73584,0.76612,0.77966,0.69186,0.77966,0.77966,0.70297,0.76542,0.01537,0.07416,0.01537,0.31814,0.03488,0.03774,0.00963,9e-05,1.52666,-0.41989,-1.5,0.02192,0.04497,0.43596,0.54632,0.18922,0.0358,1.42596,-0.67646,-1.5,0.16967,0.5919,0.29141,0.25047,0.08974,0.00805,1.51928,0.58937,-1.5,0.20785,0.41591,0.11552,0.07615,0.07904,0.00625,1.26374,0.62355,-1.5,0.0446,0.2258,AdaptiveTemperatureScaling
predict_students_dropout_and_academic_success,SVM,ECE,3,885,1,2.78,1.27207,0.36571,0.27156,0.28068,0.07878,9.3667,0.64559,-0.8988,0.06091,0.98601,0.63966,0.73333,0.73333,0.67629,0.71152,0.73333,0.63158,0.73333,0.73333,0.63534,0.71034,0.01512,0.04182,0.01512,0.36408,0.03638,0.0348,0.01343,0.00018,1.48546,0.17527,-1.5,0.02079,0.05356,0.70492,0.69781,0.33534,0.11245,1.41194,0.03178,-1.5,0.29781,1.11913,0.33373,0.2757,0.08238,0.00679,1.54299,0.70709,-1.5,0.27526,0.45023,0.15454,0.09863,0.09159,0.00839,1.34912,0.68821,-1.5,0.08132,0.28368,EMPIRICALBINNING
predict_students_dropout_and_academic_success,XGBOOST,ECE,3,885,1,2.78,1.33231,0.32237,0.21609,0.29055,0.08442,9.1937,0.73561,-0.79743,0.0,1.0,0.60052,0.78079,0.78079,0.73945,0.76802,0.78079,0.6948,0.78079,0.78079,0.70621,0.76701,0.01287,0.62221,0.01287,0.31546,0.03443,0.02757,0.01083,0.00012,1.51727,0.69584,-1.5,0.02599,0.04972,0.45298,0.5425,0.17672,0.03123,1.46025,-0.62987,-1.5,0.20614,0.61029,0.31275,0.31346,0.0671,0.0045,1.55132,-0.01594,-1.5,0.23021,0.39457,0.11867,0.11304,0.05377,0.00289,1.4323,0.15583,-1.5,0.05581,0.18715,MIXANDMATCH
predict_students_dropout_and_academic_success,ADABOOST,MCE,3,885,1,2.78,0.0,0.61531,0.6791,0.12423,0.01543,9.76072,0.45757,-1.28138,0.50056,0.82034,1.01991,0.49944,0.49944,0.16648,0.24944,0.49944,0.33333,0.49944,0.49944,0.22205,0.33271,0.0,0.0,0.0,0.61531,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-0.0,-0.0,MIXANDMATCH
predict_students_dropout_and_academic_success,DECISION_TREE,MCE,3,885,1,2.78,0.0,0.61531,0.6791,0.12423,0.01543,9.76072,0.45757,-1.28138,0.50056,0.82034,1.01991,0.49944,0.49944,0.16648,0.24944,0.49944,0.33333,0.49944,0.49944,0.22205,0.33271,0.0,0.0,0.0,0.61531,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-0.0,-0.0,MIXANDMATCH
predict_students_dropout_and_academic_success,GRADIENT_BOOSTING,MCE,3,885,1,2.78,1.4087,0.31537,0.20408,0.29235,0.08547,9.1572,0.75916,-0.71655,0.0,1.0,0.89287,0.76836,0.76836,0.72348,0.76681,0.76836,0.70084,0.76836,0.76836,0.70917,0.76429,0.01266,0.03068,0.01266,0.31802,0.02614,0.02667,0.00619,4e-05,1.54348,-0.12697,-1.5,0.01831,0.03345,0.67503,0.64528,0.12303,0.01514,1.56132,0.34861,-1.5,0.54145,0.83837,0.32905,0.30056,0.05694,0.00324,1.564,0.62533,-1.5,0.27808,0.40852,0.13864,0.10391,0.05526,0.00305,1.47724,0.69446,-1.5,0.09537,0.21664,HISTOGRM
predict_students_dropout_and_academic_success,NAIVE_BAYES,MCE,3,885,1,2.78,1.2574,0.43592,0.36771,0.25959,0.06739,9.53378,0.44644,-1.26578,0.12139,0.95025,0.74364,0.69153,0.69153,0.60074,0.65449,0.69153,0.58396,0.69153,0.69153,0.5752,0.66208,0.04567,0.17762,0.04567,0.41875,0.01341,0.01288,0.00126,0.0,1.57872,-999.0,-999.0,0.0122,0.01514,0.47134,0.46949,0.15597,0.02433,1.50383,0.01779,-1.5,0.28125,0.66328,0.30852,0.30164,0.05357,0.00287,1.5633,0.19063,-1.5,0.24663,0.3773,0.11391,0.1032,0.04305,0.00185,1.4831,0.35769,-1.5,0.06736,0.17116,HISTOGRM
predict_students_dropout_and_academic_success,RANDOM_FOREST,MCE,3,885,1,2.78,1.38894,0.32167,0.2257,0.28907,0.08356,9.19743,0.77559,-0.65197,0.00465,1.0,0.65888,0.77062,0.77062,0.72296,0.76435,0.77062,0.6964,0.77062,0.77062,0.70608,0.76392,0.01676,0.03173,0.01676,0.32424,0.02923,0.03209,0.01071,0.00011,1.47953,-0.38154,-1.5,0.01492,0.04068,0.37539,0.42077,0.11806,0.01394,1.50751,-0.51978,-1.5,0.21355,0.49185,0.28909,0.25965,0.0598,0.00358,1.55512,0.6192,-1.5,0.23516,0.37247,0.10235,0.07742,0.04958,0.00246,1.42472,0.62711,-1.5,0.05806,0.17157,MIXANDMATCH
predict_students_dropout_and_academic_success,SVM,MCE,3,885,1,2.78,1.1891,0.37826,0.26699,0.28056,0.07871,9.37229,0.44174,-1.17631,0.02469,0.98378,0.64406,0.71299,0.71299,0.61052,0.66765,0.71299,0.59133,0.71299,0.71299,0.56955,0.6713,0.05725,0.15081,0.05725,0.37074,0.02855,0.03684,0.01285,0.00017,1.41171,-0.6991,-1.5,0.0104,0.03842,0.72573,0.83488,0.21239,0.04511,1.51767,-0.63514,-1.5,0.42881,0.9135,0.37311,0.41349,0.06577,0.00433,1.56144,-0.68952,-1.5,0.28036,0.42548,0.18436,0.22702,0.06404,0.0041,1.4872,-0.70363,-1.5,0.09384,0.23221,HISTOGRM
predict_students_dropout_and_academic_success,XGBOOST,MCE,3,885,1,2.78,1.15998,0.34918,0.12611,0.28632,0.08198,9.33253,0.77161,-0.98333,0.10994,0.94896,0.61427,0.7435,0.7435,0.7406,0.74738,0.7435,0.6335,0.7435,0.7435,0.64948,0.71805,0.03404,0.04797,0.03404,0.33636,0.0348,0.03232,0.0113,0.00013,1.50959,0.31896,-1.5,0.02237,0.04972,2.34302,1.2132,1.80555,3.25999,1.1865,0.6936,-1.5,0.92484,4.89101,0.45248,0.41189,0.07685,0.00591,1.56478,0.64489,-1.5,0.38546,0.56008,0.31941,0.23882,0.13465,0.01813,1.4645,0.68339,-1.5,0.2103,0.50912,MIXANDMATCH
